num,ms,up,down,left,right
1,17,4,1,2,5
2,17,4,2,0,3
3,17,0,0,3,5
4,17,2,1,3,5
5,17,3,0,1,5
6,68,8,3,4,9
7,68,4,1,2,6
8,68,6,2,0,5
9,68,4,3,1,5
10,68,4,1,4,4
11,68,7,3,5,7
12,68,4,0,0,4
13,68,6,4,0,1
14,68,4,1,0,4
15,68,9,5,2,7
16,68,6,3,2,5
17,68,5,1,2,4
18,68,4,1,5,9
19,68,6,3,1,5
20,68,4,0,2,4
21,68,4,0,0,4
22,132,3,1,4,6
23,132,4,2,2,5
24,132,6,2,4,4
25,132,4,1,3,5
26,132,5,2,0,5
27,132,6,2,3,4
28,132,4,0,7,10
29,132,7,4,0,2
30,132,5,0,0,4
31,132,4,4,4,4
32,132,3,0,5,6
33,132,5,2,1,5
34,132,6,3,1,3
35,132,4,2,1,4
36,132,4,0,2,5
37,132,4,2,0,1
38,132,4,1,0,4
39,132,6,2,2,4
40,132,6,1,5,6
41,132,7,4,4,7
42,201,3,0,0,7
43,201,4,3,4,5
44,201,4,3,3,4
45,201,4,0,4,8
46,201,5,3,2,5
47,201,6,3,3,4
48,201,5,1,0,4
49,201,2,0,4,8
50,201,8,4,0,3
51,201,5,4,4,5
52,201,7,3,4,6
53,201,8,6,4,7
54,201,4,0,1,5
55,201,5,1,2,7
56,201,6,3,3,7
57,201,4,1,3,4
58,201,6,1,2,4
59,201,6,3,3,5
60,201,4,0,1,3
61,201,4,0,2,6
62,201,11,4,2,4
63,201,4,1,0,0
64,274,8,4,1,6
65,274,4,2,1,5
66,274,5,0,3,5
67,274,6,3,3,6
68,274,4,0,4,5
69,274,8,2,2,5
70,274,6,3,3,4
71,274,8,4,6,10
72,274,8,2,4,9
73,274,5,1,3,5
74,274,4,1,3,5
75,274,6,3,3,4
76,274,4,1,2,4
77,274,6,3,2,6
78,274,3,1,1,6
79,274,6,2,1,3
80,274,5,3,1,6
81,274,7,1,0,2
82,274,4,0,3,6
83,274,7,4,3,7
84,274,4,1,1,3
85,274,4,0,4,7
86,274,4,0,0,4
